Start date,End date,Belgium [€/MWh] Original resolutions
Feb 15, 2022 9:00 AM,240
Feb 15, 2022 10:00 AM,220.43
Feb 15, 2022 11:00 AM,199.03
Feb 15, 2022 12:00 PM,182.56
Feb 15, 2022 1:00 PM,150.85
Feb 15, 2022 2:00 PM,149.28
Feb 15, 2022 3:00 PM,157.27
Feb 15, 2022 4:00 PM,145.26
Feb 15, 2022 5:00 PM,173.23
Feb 15, 2022 6:00 PM,174.29
Feb 15, 2022 7:00 PM,115.28
Feb 15, 2022 8:00 PM,105.31
Feb 15, 2022 9:00 PM,91.51
Feb 15, 2022 10:00 PM,101.91
Feb 15, 2022 11:00 PM,87.91
Feb 16, 2022 12:00 AM,94.68
Feb 16, 2022 1:00 AM,93.97
Feb 16, 2022 2:00 AM,99.45
Feb 16, 2022 3:00 AM,106.67
Feb 16, 2022 4:00 AM,103.6
Feb 16, 2022 5:00 AM,110.4
Feb 16, 2022 6:00 AM,134.02
Feb 16, 2022 7:00 AM,184.7
Feb 16, 2022 8:00 AM,194.83
Feb 16, 2022 9:00 AM,174.52
Feb 16, 2022 10:00 AM,137.84
Feb 16, 2022 11:00 AM,136.04
Feb 16, 2022 12:00 PM,118.22
Feb 16, 2022 1:00 PM,111.4
Feb 16, 2022 2:00 PM,105.65
Feb 16, 2022 3:00 PM,97.57
Feb 16, 2022 4:00 PM,99.11
Feb 16, 2022 5:00 PM,110.76
Feb 16, 2022 6:00 PM,118.61
Feb 16, 2022 7:00 PM,117.99
Feb 16, 2022 8:00 PM,102.9
Feb 16, 2022 9:00 PM,95.01
Feb 16, 2022 10:00 PM,95.01
Feb 16, 2022 11:00 PM,74.12
Feb 17, 2022 12:00 AM,17.92
Feb 17, 2022 1:00 AM,15.04
Feb 17, 2022 2:00 AM,15.02
Feb 17, 2022 3:00 AM,13.97
Feb 17, 2022 4:00 AM,15.04
Feb 17, 2022 5:00 AM,33.02
Feb 17, 2022 6:00 AM,90.93
Feb 17, 2022 7:00 AM,123.22
Feb 17, 2022 8:00 AM,107.23
Feb 17, 2022 9:00 AM,102.55
Feb 17, 2022 10:00 AM,95.06
Feb 17, 2022 11:00 AM,77.47
Feb 17, 2022 12:00 PM,65.06
Feb 17, 2022 1:00 PM,35.98
Feb 17, 2022 2:00 PM,42.68
Feb 17, 2022 3:00 PM,67.3
Feb 17, 2022 4:00 PM,86.08
Feb 17, 2022 5:00 PM,108.83
Feb 17, 2022 6:00 PM,110.63
Feb 17, 2022 7:00 PM,101.54
Feb 17, 2022 8:00 PM,86.9
Feb 17, 2022 9:00 PM,86.48
Feb 17, 2022 10:00 PM,86.3
Feb 17, 2022 11:00 PM,63.04
Feb 18, 2022 12:00 AM,71.45
Feb 18, 2022 1:00 AM,62.57
Feb 18, 2022 2:00 AM,74.76
Feb 18, 2022 3:00 AM,84.92
Feb 18, 2022 4:00 AM,95.19
Feb 18, 2022 5:00 AM,119.09
Feb 18, 2022 6:00 AM,140.99
Feb 18, 2022 7:00 AM,185.05
Feb 18, 2022 8:00 AM,189.28
Feb 18, 2022 9:00 AM,173.24
Feb 18, 2022 10:00 AM,150
Feb 18, 2022 11:00 AM,130.99
Feb 18, 2022 12:00 PM,123.17
Feb 18, 2022 1:00 PM,106.81
Feb 18, 2022 2:00 PM,99.89
Feb 18, 2022 3:00 PM,99.26
Feb 18, 2022 4:00 PM,97.42
Feb 18, 2022 5:00 PM,113.84
Feb 18, 2022 6:00 PM,130.9
Feb 18, 2022 7:00 PM,140.49
Feb 18, 2022 8:00 PM,115.87
Feb 18, 2022 9:00 PM,109.75
Feb 18, 2022 10:00 PM,115.66
